kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Albania,8,A — super: plaża / ocena / okolica,The White Donkey Apartment House,2018.96,9.5,44,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,False,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,11,A — super: plaża / ocena / okolica,The White Donkey Apartment House,2776.07,9.5,44,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,False,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,14,A — super: plaża / ocena / okolica,The White Donkey Apartment House,3530.0,9.5,44,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,False,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,8,A — super: plaża / ocena / okolica,Aquamarine Apartments,1900.2,9.2,409,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,False,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,11,A — super: plaża / ocena / okolica,Aquamarine Apartments,2612.77,9.2,409,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,False,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,14,A — super: plaża / ocena / okolica,Aquamarine Apartments,3323.0,9.2,409,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,False,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,The White Donkey Apartment House,2018.96,9.5,44,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,False,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,11,B — rozsądnie: lokalizacja / opinia / pralka preferowana,The White Donkey Apartment House,2776.07,9.5,44,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,False,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,14,B — rozsądnie: lokalizacja / opinia / pralka preferowana,The White Donkey Apartment House,3533.18,9.5,44,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,False,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aquamarine Apartments,1900.2,9.2,409,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,True,True,False,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,11,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aquamarine Apartments,2612.77,9.2,409,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,True,True,False,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,14,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aquamarine Apartments,3325.35,9.2,409,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,True,True,False,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
